ADDENDUM E. FINAL CY 2026 GEOGRAPHIC PRACTICE COST INDICES (GPCIs) BY STATE AND MEDICARE LOCALITY,,,,,,
,,,,,,
Medicare Administrative Contractor (MAC),State,Locality Number,Locality Name,2026 PW GPCI (with 1.0 Floor)***,2026 PE GPCI,2026 MP GPCI
14312,NH,40,NEW HAMPSHIRE,1.000,1.041,0.875
12402,NJ,01,NORTHERN NJ,1.063,1.160,1.068
12402,NJ,99,REST OF NEW JERSEY,1.040,1.092,1.097
04212,NM,05,NEW MEXICO,1.000,0.917,1.201
13202,NY,01,MANHATTAN,1.064,1.162,1.586
13202,NY,02,NYC SUBURBS/LONG ISLAND,1.064,1.189,1.857
13202,NY,03,POUGHKPSIE/N NYC SUBURBS,1.045,1.095,1.210
13292,NY,04,QUEENS,1.064,1.182,1.442
13282,NY,99,REST OF NEW YORK,1.000,0.950,0.703
11502,NC,00,NORTH CAROLINA,1.000,0.933,0.639
03302,ND,01,NORTH DAKOTA**,1.000,1.000,0.406
15202,OH,00,OHIO,1.000,0.913,1.008
04312,OK,00,OKLAHOMA,1.000,0.893,0.777
02302,OR,01,PORTLAND,1.016,1.111,0.744
02302,OR,99,REST OF OREGON,1.000,0.996,0.703
12502,PA,01,METROPOLITAN PHILADELPHIA,1.018,1.041,1.193
12502,PA,99,REST OF PENNSYLVANIA,1.000,0.918,0.945
09202,PR,20,PUERTO RICO,1.000,1.011,0.985
14412,RI,01,RHODE ISLAND,1.019,1.033,0.892
11202,SC,01,SOUTH CAROLINA,1.000,0.924,0.850
03402,SD,02,SOUTH DAKOTA**,1.000,1.000,0.336
10312,TN,35,TENNESSEE,1.000,0.909,0.537
04412,TX,31,AUSTIN,1.002,1.058,0.886
04412,TX,20,BEAUMONT,1.000,0.910,0.929
04412,TX,09,BRAZORIA,1.008,0.991,0.780
04412,TX,11,DALLAS,1.009,0.996,0.858
04412,TX,28,FORT WORTH,1.009,0.986,0.871
04412,TX,15,GALVESTON,1.008,0.993,0.828
04412,TX,18,HOUSTON,1.008,0.993,1.376
04412,TX,99,REST OF TEXAS,1.000,0.949,0.903
03502,UT,09,UTAH,1.000,0.940,0.898
14512,VT,50,VERMONT,1.000,0.990,0.506
11302,VA,00,VIRGINIA,1.000,0.983,0.706
09202,VI,50,VIRGIN ISLANDS,1.000,1.011,0.985
02402,WA,02,SEATTLE (KING CNTY),1.050,1.227,0.817
02402,WA,99,REST OF WASHINGTON,1.013,1.053,0.761
11402,WV,16,WEST VIRGINIA,1.000,0.869,1.431
06302,WI,00,WISCONSIN,1.000,0.958,0.308
03602,WY,21,WYOMING**,1.000,1.000,0.740
"MAC Assignments as of November 22, 2023",,,,,,
,,,,,,
*Work GPCI reflects a 1.5 floor in Alaska established by the MIPPA.,,,,,,
**PE GPCI reflects a 1.0 floor for frontier states established by the ACA.,,,,,,
,,,,,,
"***Note: The work GPCI floor of 1.0 that was applied in previous updates was extended through January 1, 2027 by Section 6208 of Continuing Appropriations Act, 2026 (H.R.7148).",,,,,,
"   Therefore, the work GPCIs for 2026 reflect the 1.0 work GPCI floor.",,,,,,
,,,,,,
"Note: For CY 2024 and on, Addendum E will reflect the retirement of 3 California localities, as finalized in the CY 2023 PFS final rule. ",,,,,,
